Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
90,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431727.png"" height=""40""></img>",Isaiah Wong,Lead Guard,21.4,75,NA,185,14,33.6,16.5,2.1,1.3,0.8,0.4,0.7,3.3,4,1.5,71,17,38,55.50000000000001,57.9,24.3,13,8.3,1.3,1.5,2.7,11.5,7.2,116,109.9,1.4,0.3,1.7,4.5,-1.5,2.9
91,"<img src=""https://www.euroleague.net/rs/b4en74vi58r58qul/c4974b14-d249-46d4-9092-0e470e8d733d/88e/filename/c49.jpg"" height=""40""></img>",Carlos Alocen,Lead Guard,21.5,77,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432815.png&w=350&h=254"" height=""40""></img>",Isaiah Mobley,Forward,21.7,81.75,"7'3""",238,12,32.3,15,2.8,1.5,0.9,0.8,2.8,6.8,9.6,1.3,49,20,22,54.900000000000006,55.7,23.2,15.4,10,1.7,2.3,9.7,19.8,15.3,119.6,86.4,1.3,1.1,2.4,7.2,3.1,10.4
93,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-92-e1600310820622.png"" height=""40""></img>",Matteo Spagnolo,Wing,19.4,77.5,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432107.png&w=350&h=254"" height=""40""></img>",Marcus Sasser,Combo Guard,21.8,73,NA,190,12,32,17.7,2.6,2.2,2.1,0.1,0.3,2.6,2.8,1.4,24,45,29,57.9,60,26.4,14.7,12.8,3.9,0.4,0.9,9.4,5.1,120,85.9,1.4,1.1,2.5,7.1,4.3,11.4
95,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395631.png&w=350&h=254"" height=""40""></img>",Michael DeVoe,Wing,22.5,77,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431685.png&w=350&h=254"" height=""40""></img>",Josiah-Jordan James,Wing,21.8,78,NA,214,9,25.9,6.2,1.1,1,2,1.3,1.3,4.2,5.6,2.1,8,11,7,36,38.5,17,6.7,11,4.4,6.3,5.4,18.7,11.8,89,79.9,0,0.8,0.8,0.3,6.9,7.3
97,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395676.png&w=350&h=254"" height=""40""></img>",Buddy Boeheim,Wing,22.6,78,NA,195,13,37.2,19.5,3.5,1.8,1.4,0,0.7,2.7,3.4,1.5,57,30,49,48.6,53.7,26.7,18.8,9.2,2.1,0,2.1,7.8,5,113.2,111.7,1.4,0.2,1.6,4.2,-1.1,3.1
98,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431914.png&w=350&h=254"" height=""40""></img>",Tyler Burton,Forward,22.4,79,NA,215,14,31.7,18.2,0.8,1.4,0.9,0.6,1.5,5.4,6.9,1.4,55,32,49,62.4,65.60000000000001,25.5,5.3,8.9,1.7,2.2,5.6,19.9,12.8,123.3,102,1.7,0.6,2.3,7.2,-0.4,6.8
99,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432828.png"" height=""40""></img>",Kofi Cockburn,Big,22.8,84.25,"7'4""",297.6,9,30.4,21.8,1.1,2.4,0.8,0.9,3.6,8.6,12.1,2,74,0,48,62.2,64.4,30.3,8.4,12.6,1.5,2.8,13.9,28.5,21.7,126.3,88.2,1.4,0.7,2.1,7.6,0.9,8.4
